time,distance,filtered,setpoint,error,control
4.794,137.0,143.0,221.0,0.0,50.0
4.828,137.0,139.0,221.0,0.0,50.0
4.862,110.0,119.0,221.0,0.0,50.0
4.896,110.0,113.0,221.0,0.0,50.0
4.93,110.0,111.0,221.0,0.0,50.0
4.964,110.0,110.0,221.0,0.0,50.0
4.998,65.0,78.0,221.0,0.0,50.0
5.032,65.0,69.0,221.0,0.0,50.0
5.066,65.0,66.0,221.0,0.0,50.0
5.1,65.0,65.0,221.0,0.0,50.0
5.134,13.0,28.0,221.0,0.0,50.0
5.168,13.0,17.0,221.0,0.0,50.0
5.202,13.0,14.0,221.0,0.0,50.0
5.236,28.0,24.0,221.0,0.0,50.0
5.27,28.0,27.0,221.0,0.0,50.0
5.304,28.0,28.0,221.0,0.0,50.0
5.338,28.0,28.0,221.0,0.0,50.0
5.372,18.0,21.0,221.0,0.0,50.0
5.406,18.0,19.0,221.0,0.0,50.0
5.44,9.0,12.0,221.0,0.0,50.0
5.474,9.0,10.0,221.0,0.0,50.0
5.508,9.0,9.0,221.0,0.0,50.0
5.542,9.0,9.0,221.0,0.0,50.0
5.576,8.0,8.0,221.0,0.0,50.0
5.61,8.0,8.0,221.0,0.0,50.0
5.644,8.0,8.0,221.0,0.0,50.0
5.678,8.0,8.0,221.0,0.0,50.0
5.712,8.0,8.0,221.0,0.0,50.0
5.746,8.0,8.0,221.0,0.0,50.0
5.78,8.0,8.0,221.0,0.0,50.0
5.814,8.0,8.0,221.0,0.0,50.0
5.848,8.0,8.0,221.0,0.0,50.0
5.882,8.0,8.0,221.0,0.0,50.0
5.916,8.0,8.0,221.0,0.0,50.0
5.95,8.0,8.0,221.0,0.0,50.0
5.984,8.0,8.0,221.0,0.0,50.0
6.018,8.0,8.0,221.0,0.0,50.0
6.052,8.0,8.0,221.0,0.0,50.0
6.086,8.0,8.0,221.0,0.0,50.0
6.12,8.0,8.0,221.0,0.0,50.0
6.154,8.0,8.0,221.0,0.0,50.0
6.188,8.0,8.0,221.0,0.0,50.0
6.222,8.0,8.0,221.0,0.0,50.0
6.256,8.0,8.0,221.0,0.0,50.0
6.29,8.0,8.0,221.0,0.0,50.0
6.324,7.0,8.0,221.0,0.0,50.0
6.358,8.0,8.0,221.0,0.0,50.0
6.392,8.0,8.0,221.0,0.0,50.0
6.426,8.0,8.0,221.0,0.0,50.0
6.46,8.0,8.0,221.0,0.0,50.0
6.494,8.0,8.0,221.0,0.0,50.0
6.528,8.0,8.0,221.0,0.0,50.0
6.562,8.0,8.0,221.0,0.0,50.0
6.596,8.0,8.0,221.0,0.0,50.0
6.63,8.0,8.0,221.0,0.0,50.0
6.664,8.0,8.0,221.0,0.0,50.0
6.698,8.0,8.0,221.0,0.0,50.0
6.732,8.0,8.0,221.0,0.0,50.0
6.766,8.0,8.0,221.0,0.0,50.0
6.8,8.0,8.0,221.0,0.0,50.0
6.834,8.0,8.0,221.0,0.0,50.0
6.868,7.0,8.0,221.0,0.0,50.0
6.902,7.0,7.0,221.0,0.0,50.0
6.936,8.0,8.0,221.0,0.0,50.0
6.97,8.0,8.0,221.0,0.0,50.0
7.004,8.0,8.0,221.0,0.0,50.0
7.038,8.0,8.0,221.0,0.0,50.0
7.072,8.0,8.0,221.0,0.0,50.0
7.106,8.0,8.0,221.0,0.0,50.0
7.14,8.0,8.0,221.0,0.0,50.0
7.174,8.0,8.0,221.0,0.0,50.0
7.208,8.0,8.0,221.0,0.0,50.0
7.242,8.0,8.0,221.0,0.0,50.0
7.276,8.0,8.0,221.0,0.0,50.0
7.31,8.0,8.0,221.0,0.0,50.0
7.344,8.0,8.0,221.0,0.0,50.0
7.378,8.0,8.0,221.0,0.0,50.0
7.412,8.0,8.0,221.0,0.0,50.0
7.446,8.0,8.0,221.0,0.0,50.0
7.48,8.0,8.0,221.0,0.0,50.0
7.514,7.0,8.0,221.0,0.0,50.0
7.548,7.0,7.0,221.0,0.0,50.0
7.582,7.0,7.0,221.0,0.0,50.0
7.616,8.0,8.0,221.0,0.0,50.0
7.65,8.0,8.0,221.0,0.0,50.0
7.684,8.0,8.0,221.0,0.0,50.0
7.718,8.0,8.0,221.0,0.0,50.0
7.752,8.0,8.0,221.0,0.0,50.0
7.786,8.0,8.0,221.0,0.0,50.0
7.82,8.0,8.0,221.0,0.0,50.0
7.854,8.0,8.0,221.0,0.0,50.0
7.888,7.0,8.0,221.0,0.0,50.0
7.922,7.0,7.0,221.0,0.0,50.0
7.956,8.0,8.0,221.0,0.0,50.0
7.99,8.0,8.0,221.0,0.0,50.0
8.024,8.0,8.0,221.0,0.0,50.0
8.058,8.0,8.0,221.0,0.0,50.0
8.092,8.0,8.0,221.0,0.0,50.0
8.126,8.0,8.0,221.0,0.0,50.0
