time,distance,filtered,setpoint,error,control
3.367,170.0,173.0,123.0,0.0,100.0
3.404,178.0,173.0,123.0,0.0,100.0
3.441,178.0,175.0,123.0,0.0,100.0
3.478,170.0,176.0,123.0,0.0,100.0
3.515,176.0,176.0,123.0,0.0,100.0
3.552,175.0,175.0,123.0,0.0,100.0
3.589,175.0,175.0,123.0,0.0,100.0
3.626,173.0,175.0,123.0,0.0,100.0
3.663,171.0,173.0,123.0,0.0,100.0
3.7,170.0,171.0,123.0,0.0,100.0
3.737,170.0,170.0,123.0,0.0,100.0
3.774,160.0,170.0,123.0,0.0,100.0
3.811,173.0,170.0,123.0,0.0,100.0
3.848,167.0,168.0,123.0,0.0,100.0
3.885,171.0,170.0,123.0,0.0,100.0
3.922,170.0,170.0,123.0,0.0,100.0
3.959,167.0,170.0,123.0,0.0,100.0
3.996,179.0,170.0,123.0,0.0,100.0
4.033,176.0,173.0,123.0,0.0,100.0
4.07,175.0,175.0,123.0,0.0,100.0
4.107,168.0,175.0,123.0,0.0,100.0
4.144,171.0,173.0,123.0,0.0,100.0
4.181,170.0,171.0,123.0,0.0,100.0
4.218,171.0,171.0,123.0,0.0,100.0
4.255,170.0,170.0,123.0,0.0,100.0
4.292,175.0,170.0,123.0,0.0,100.0
4.329,170.0,170.0,123.0,0.0,100.0
4.366,171.0,170.0,123.0,0.0,100.0
4.403,173.0,170.0,123.0,0.0,100.0
4.44,170.0,170.0,123.0,0.0,100.0
4.477,173.0,171.0,123.0,0.0,100.0
4.514,175.0,171.0,123.0,0.0,100.0
4.551,164.0,171.0,123.0,0.0,100.0
4.588,168.0,170.0,123.0,0.0,100.0
4.625,173.0,168.0,123.0,0.0,100.0
4.662,175.0,170.0,123.0,0.0,100.0
4.699,171.0,171.0,123.0,0.0,100.0
4.736,170.0,171.0,123.0,0.0,100.0
4.773,179.0,171.0,123.0,0.0,100.0
4.81,179.0,175.0,123.0,0.0,100.0
4.847,165.0,176.0,123.0,0.0,100.0
4.884,181.0,178.0,123.0,0.0,100.0
4.921,173.0,175.0,123.0,0.0,100.0
4.958,179.0,176.0,123.0,0.0,100.0
4.995,173.0,175.0,123.0,0.0,100.0
5.032,173.0,173.0,123.0,0.0,100.0
5.069,175.0,173.0,123.0,0.0,100.0
5.106,175.0,173.0,123.0,0.0,100.0
5.143,176.0,173.0,123.0,0.0,100.0
5.18,175.0,173.0,123.0,0.0,100.0
5.217,179.0,175.0,123.0,0.0,100.0
5.254,173.0,175.0,123.0,0.0,100.0
5.291,170.0,173.0,123.0,0.0,100.0
5.328,175.0,173.0,123.0,0.0,100.0
5.365,173.0,173.0,123.0,0.0,100.0
5.402,176.0,173.0,123.0,0.0,100.0
5.439,176.0,175.0,123.0,0.0,100.0
5.476,168.0,175.0,123.0,0.0,100.0
5.513,173.0,173.0,123.0,0.0,100.0
5.55,170.0,171.0,123.0,0.0,100.0
5.587,181.0,171.0,123.0,0.0,100.0
5.624,179.0,175.0,123.0,0.0,100.0
5.661,176.0,176.0,123.0,0.0,94.0
5.697,179.0,178.0,123.0,0.0,90.0
5.733,179.0,178.0,123.0,0.0,90.0
5.769,170.0,178.0,123.0,0.0,90.0
5.805,171.0,175.0,123.0,0.0,90.0
5.841,168.0,171.0,123.0,0.0,90.0
5.877,179.0,171.0,123.0,0.0,90.0
5.913,173.0,171.0,123.0,0.0,90.0
5.949,176.0,173.0,123.0,0.0,90.0
5.985,173.0,173.0,123.0,0.0,90.0
6.021,178.0,175.0,123.0,0.0,90.0
6.057,168.0,173.0,123.0,0.0,90.0
6.093,170.0,171.0,123.0,0.0,90.0
6.129,175.0,170.0,123.0,0.0,90.0
6.165,164.0,170.0,123.0,0.0,90.0
6.201,168.0,168.0,123.0,0.0,90.0
6.237,164.0,165.0,123.0,0.0,90.0
6.273,162.0,164.0,123.0,0.0,90.0
6.309,159.0,162.0,123.0,0.0,90.0
6.345,168.0,162.0,123.0,0.0,90.0
6.381,160.0,160.0,123.0,0.0,90.0
6.417,154.0,160.0,123.0,0.0,90.0
6.453,156.0,157.0,123.0,0.0,90.0
6.489,154.0,156.0,123.0,0.0,90.0
6.525,157.0,156.0,123.0,0.0,90.0
6.561,150.0,154.0,123.0,0.0,90.0
6.597,143.0,151.0,123.0,0.0,90.0
6.633,140.0,146.0,123.0,0.0,90.0
6.669,143.0,145.0,123.0,0.0,90.0
6.705,135.0,142.0,123.0,0.0,90.0
6.741,132.0,139.0,123.0,0.0,90.0
6.777,131.0,135.0,123.0,0.0,90.0
6.813,128.0,132.0,123.0,0.0,90.0
6.849,122.0,129.0,123.0,0.0,90.0
6.885,120.0,125.0,123.0,0.0,90.0
6.921,116.0,122.0,123.0,0.0,90.0
6.957,113.0,119.0,123.0,0.0,90.0
6.993,109.0,115.0,123.0,0.0,90.0
7.029,103.0,112.0,123.0,0.0,90.0
7.065,99.0,107.0,123.0,0.0,90.0
7.101,96.0,102.0,123.0,0.0,90.0
7.137,90.0,99.0,123.0,0.0,90.0
7.173,87.0,94.0,123.0,0.0,90.0
7.209,79.0,90.0,123.0,0.0,90.0
7.245,75.0,86.0,123.0,0.0,90.0
7.281,75.0,80.0,123.0,0.0,90.0
7.317,69.0,77.0,123.0,0.0,90.0
7.353,61.0,73.0,123.0,0.0,90.0
7.389,57.0,68.0,123.0,0.0,90.0
7.425,54.0,63.0,123.0,0.0,90.0
7.461,50.0,58.0,123.0,0.0,90.0
7.497,44.0,54.0,123.0,0.0,90.0
7.533,36.0,50.0,123.0,0.0,90.0
7.569,32.0,42.0,123.0,0.0,90.0
7.605,29.0,38.0,123.0,0.0,90.0
7.641,21.0,33.0,123.0,0.0,90.0
7.677,20.0,26.0,123.0,0.0,90.0
7.713,17.0,23.0,123.0,0.0,90.0
7.749,15.0,20.0,123.0,0.0,90.0
7.785,11.0,17.0,123.0,0.0,90.0
7.821,5.0,14.0,123.0,0.0,90.0
7.857,6.0,10.0,123.0,0.0,90.0
7.893,2.0,7.0,123.0,0.0,90.0
7.929,3.0,5.0,123.0,0.0,90.0
7.965,0,3.0,123.0,0.0,90.0
8.001,2.0,2.0,123.0,0.0,90.0
8.037,1.0,1.0,123.0,0.0,90.0
8.073,2.0,1.0,123.0,0.0,90.0
8.109,1.0,1.0,123.0,0.0,90.0
8.145,1.0,1.0,123.0,0.0,90.0
8.181,1.0,1.0,123.0,0.0,90.0
8.217,0,1.0,123.0,0.0,90.0
8.253,1.0,1.0,123.0,0.0,90.0
8.289,1.0,1.0,123.0,0.0,90.0
8.325,0,1.0,123.0,0.0,90.0
8.361,1.0,1.0,123.0,0.0,90.0
8.397,0,0.0,123.0,0.0,90.0
8.433,0,0.0,123.0,0.0,90.0
8.469,0,0.0,123.0,0.0,90.0
8.505,0,0.0,123.0,0.0,90.0
8.541,0,0.0,123.0,0.0,90.0
8.577,0,0.0,123.0,0.0,90.0
8.613,0,0.0,123.0,0.0,90.0
8.649,0,0.0,123.0,0.0,90.0
8.685,0,0.0,123.0,0.0,90.0
8.721,1.0,0.0,123.0,0.0,90.0
8.757,0,0.0,123.0,0.0,90.0
8.793,0,0.0,123.0,0.0,90.0
8.829,0,0.0,123.0,0.0,90.0
8.865,0,0.0,123.0,0.0,90.0
8.901,1.0,0.0,123.0,0.0,90.0
